Week,Avg_Sentiment,Article_Count
2022-05-30/2022-06-05,2.6362064,17
2022-06-06/2022-06-12,2.5542743,135
2022-06-13/2022-06-19,2.9415238,107
2022-06-20/2022-06-26,1.9496839,91
2022-06-27/2022-07-03,2.6910636,123
2022-07-04/2022-07-10,2.4821732,61
2022-07-11/2022-07-17,3.1311276,96
2022-07-18/2022-07-24,1.4912803,151
2022-07-25/2022-07-31,0.6787785,150
2022-08-01/2022-08-07,2.324172,91
2022-08-08/2022-08-14,1.9172758,89
2022-08-15/2022-08-21,2.8049579,89
2022-08-22/2022-08-28,3.2811258,90
2022-08-29/2022-09-04,2.620173,96
2022-09-05/2022-09-11,2.4716337,98
2022-09-12/2022-09-18,2.4995492,99
2022-09-19/2022-09-25,2.644606,92
2022-09-26/2022-10-02,2.4223554,133
2022-10-03/2022-10-09,2.3923156,112
2022-10-10/2022-10-16,2.1663644,82
2022-10-17/2022-10-23,0.9970383,98
2022-10-24/2022-10-30,1.1147928,152
2022-10-31/2022-11-06,1.9855915,95
2022-11-07/2022-11-13,1.6250663,102
2022-11-14/2022-11-20,2.8616889,80
2022-11-21/2022-11-27,2.4238608,75
2022-11-28/2022-12-04,1.8878176,141
2022-12-05/2022-12-11,2.277244,98
2022-12-12/2022-12-18,2.6811473,79
2022-12-19/2022-12-25,2.6418617,76
2022-12-26/2023-01-01,1.2171105,98
2023-01-02/2023-01-08,3.0632114,105
2023-01-09/2023-01-15,2.968076,96
2023-01-16/2023-01-22,3.3509939,98
2023-01-23/2023-01-29,2.682364,108
2023-01-30/2023-02-05,1.0131629,165
2023-02-06/2023-02-12,2.0017755,96
2023-02-13/2023-02-19,3.4072769,79
2023-02-20/2023-02-26,3.4500647,66
2023-02-27/2023-03-05,3.423223,98
2023-03-06/2023-03-12,2.4384067,84
2023-03-13/2023-03-19,2.7475584,76
2023-03-20/2023-03-26,2.8199644,79
2023-03-27/2023-04-02,2.6208286,108
2023-04-03/2023-04-09,2.847791,112
2023-04-10/2023-04-16,2.9428573,109
2023-04-17/2023-04-23,2.3801243,97
2023-04-24/2023-04-30,2.5616024,97
2023-05-01/2023-05-07,1.1960723,163
2023-05-08/2023-05-14,2.5373495,103
2023-05-15/2023-05-21,4.1895394,112
2023-05-22/2023-05-28,2.5779133,109
2023-05-29/2023-06-04,3.7323918,105
2023-06-05/2023-06-11,2.504324,137
2023-06-12/2023-06-18,2.6672642,109
2023-06-19/2023-06-25,3.0852122,78
2023-06-26/2023-07-02,1.9379857,132
2023-07-03/2023-07-09,2.8683527,111
2023-07-10/2023-07-16,3.0108967,100
2023-07-17/2023-07-23,2.08697,102
2023-07-24/2023-07-30,2.7796948,126
2023-07-31/2023-08-06,1.1615039,195
2023-08-07/2023-08-13,1.6357005,119
2023-08-14/2023-08-20,2.597835,104
2023-08-21/2023-08-27,2.7969708,114
2023-08-28/2023-09-03,2.3114862,92
2023-09-04/2023-09-10,1.9173279,180
2023-09-11/2023-09-17,2.623263,223
2023-09-18/2023-09-24,2.0651643,128
2023-09-25/2023-10-01,2.3899212,134
2023-10-02/2023-10-08,1.5402026,113
2023-10-09/2023-10-15,2.3638182,118
2023-10-16/2023-10-22,2.4872425,112
2023-10-23/2023-10-29,2.7014925,142
2023-10-30/2023-11-05,1.3896126,181
2023-11-06/2023-11-12,3.2801373,119
2023-11-13/2023-11-19,3.412986,107
2023-11-20/2023-11-26,3.0658307,73
2023-11-27/2023-12-03,2.663059,96
2023-12-04/2023-12-10,2.2356694,109
2023-12-11/2023-12-17,2.8260305,150
