Week,Avg_Sentiment,Article_Count
2009-10-05/2009-10-11,5.024269,2
2009-10-12/2009-10-18,0.8267922,1
2009-11-02/2009-11-08,8.348424,1
2009-11-30/2009-12-06,4.9141326,2
2010-01-11/2010-01-17,1.3943617,1
2010-01-18/2010-01-24,-0.58707243,1
2010-02-01/2010-02-07,-3.894873,1
2010-02-15/2010-02-21,0.1725723,1
2010-03-01/2010-03-07,7.5027137,1
2010-03-15/2010-03-21,2.2841263,2
2010-03-29/2010-04-04,7.91384,2
2010-04-05/2010-04-11,-3.7581258,1
2010-04-12/2010-04-18,-1.1204013,4
2010-04-26/2010-05-02,0.72635,1
2010-05-03/2010-05-09,0.45493063,2
2010-05-10/2010-05-16,0.35792565,1
2010-05-17/2010-05-23,0.6878412,1
2010-06-07/2010-06-13,-2.0306485,2
2010-06-21/2010-06-27,-0.69302994,3
2010-07-05/2010-07-11,3.8457565,4
2010-07-12/2010-07-18,2.1388986,14
2010-08-02/2010-08-08,-0.11809188,1
2010-08-09/2010-08-15,0.12772498,4
2010-08-16/2010-08-22,9.055189,1
2010-08-30/2010-09-05,-4.223231,1
2010-09-20/2010-09-26,-1.0542116,4
2010-09-27/2010-10-03,0.88299507,3
2010-10-04/2010-10-10,1.8823423,12
2010-10-11/2010-10-17,1.7049323,4
2010-10-18/2010-10-24,-4.3763676,1
2010-11-01/2010-11-07,0.20274267,1
2010-11-08/2010-11-14,0.17512472,1
2010-11-22/2010-11-28,0.154489,1
2010-11-29/2010-12-05,-0.23307228,1
2010-12-27/2011-01-02,1.8976072,2
2011-01-03/2011-01-09,-0.2731374,4
2011-01-10/2011-01-16,2.3195724,6
2011-01-17/2011-01-23,7.92121,1
2011-01-24/2011-01-30,-3.613143,1
2011-01-31/2011-02-06,9.240618,1
2011-02-07/2011-02-13,-0.12237032,2
2011-03-07/2011-03-13,-1.3072371,2
2011-03-21/2011-03-27,-0.2956952,2
2011-03-28/2011-04-03,-3.157576,2
2011-04-04/2011-04-10,0.10395759,4
2011-04-11/2011-04-17,0.6294459,12
2011-04-18/2011-04-24,-1.4216913,2
2011-04-25/2011-05-01,2.6764817,2
2011-05-02/2011-05-08,2.6808178,5
2011-05-16/2011-05-22,5.4190164,3
2011-05-23/2011-05-29,3.9125595,5
2011-05-30/2011-06-05,2.0608773,7
2011-06-20/2011-06-26,-1.7505538,4
2011-06-27/2011-07-03,2.900136,2
2011-07-04/2011-07-10,3.6226435,4
2011-07-11/2011-07-17,0.5627583,5
2011-07-18/2011-07-24,4.289374,3
2011-07-25/2011-07-31,2.7987654,2
2011-08-01/2011-08-07,0.18937242,1
2011-08-15/2011-08-21,6.578456,1
2011-08-29/2011-09-04,3.497861,1
2011-09-05/2011-09-11,1.0501509,1
2011-10-03/2011-10-09,0.53456235,4
2011-10-10/2011-10-16,-1.3896334,8
2011-11-14/2011-11-20,2.3140774,4
2011-11-21/2011-11-27,-1.4419365,2
2011-11-28/2011-12-04,-0.009308137,2
2011-12-05/2011-12-11,0.9223106,1
2011-12-12/2011-12-18,0.08669435,1
2011-12-19/2011-12-25,0.44249898,1
2011-12-26/2012-01-01,0.45953965,1
2012-01-02/2012-01-08,2.9411564,5
2012-01-09/2012-01-15,1.9591795,21
2012-01-16/2012-01-22,-0.4285872,4
2012-01-23/2012-01-29,0.44584024,2
2012-01-30/2012-02-05,3.21053,3
2012-02-06/2012-02-12,-0.21805613,3
2012-02-13/2012-02-19,1.5122627,3
2012-02-20/2012-02-26,3.3235533,2
2012-02-27/2012-03-04,5.9599743,1
2012-03-05/2012-03-11,4.3319016,4
2012-03-12/2012-03-18,-2.3143997,4
2012-03-26/2012-04-01,1.23555,5
2012-04-02/2012-04-08,1.8411849,5
2012-04-09/2012-04-15,1.5401165,19
2012-04-16/2012-04-22,7.341016,1
2012-04-23/2012-04-29,3.6210423,1
2012-04-30/2012-05-06,-0.77202946,5
2012-05-07/2012-05-13,2.8182442,1
2012-05-14/2012-05-20,4.3124566,3
2012-05-21/2012-05-27,-0.8552127,5
2012-05-28/2012-06-03,3.4647052,4
2012-06-04/2012-06-10,-0.96172863,3
2012-06-11/2012-06-17,3.478983,2
2012-06-18/2012-06-24,2.0481424,7
2012-06-25/2012-07-01,0.13698351,8
2012-07-02/2012-07-08,1.368565,6
2012-07-09/2012-07-15,2.378449,16
2012-07-16/2012-07-22,2.129746,4
2012-07-23/2012-07-29,5.4664774,2
2012-07-30/2012-08-05,-1.057935,4
2012-08-06/2012-08-12,-1.1891569,3
2012-08-13/2012-08-19,-0.0007166043,4
2012-08-20/2012-08-26,-0.5870577,2
2012-08-27/2012-09-02,6.65024,2
2012-09-03/2012-09-09,-0.029403389,1
2012-09-10/2012-09-16,-0.032335855,5
2012-09-17/2012-09-23,2.711808,6
2012-09-24/2012-09-30,4.2014813,4
2012-10-01/2012-10-07,2.040875,5
2012-10-08/2012-10-14,1.5416428,28
2012-10-15/2012-10-21,4.391712,6
2012-10-22/2012-10-28,-3.318857,1
2012-11-05/2012-11-11,5.150073,1
2012-11-12/2012-11-18,1.8685254,3
2012-11-26/2012-12-02,2.2713234,2
2012-12-03/2012-12-09,0.24164458,4
2012-12-10/2012-12-16,-0.013254019,3
2012-12-17/2012-12-23,0.7894172,3
2012-12-24/2012-12-30,0.80528206,3
2012-12-31/2013-01-06,0.5526219,4
2013-01-07/2013-01-13,0.39008608,22
2013-01-14/2013-01-20,0.13914627,2
2013-01-21/2013-01-27,3.3834953,1
2013-01-28/2013-02-03,-0.59029853,6
2013-02-04/2013-02-10,0.6279197,3
2013-02-11/2013-02-17,6.457568,5
2013-02-18/2013-02-24,0.18925042,6
2013-02-25/2013-03-03,3.0835502,1
2013-03-04/2013-03-10,0.3734417,1
2013-03-11/2013-03-17,-0.5550869,2
2013-03-18/2013-03-24,0.071657985,2
2013-04-01/2013-04-07,1.9489806,5
2013-04-08/2013-04-14,0.8583906,12
2013-04-15/2013-04-21,0.82705873,1
2013-04-22/2013-04-28,1.164346,2
2013-04-29/2013-05-05,0.055168167,1
2013-05-06/2013-05-12,5.9184523,2
2013-05-13/2013-05-19,3.8199546,3
2013-05-20/2013-05-26,0.07529738,5
2013-05-27/2013-06-02,-0.3675214,4
2013-06-10/2013-06-16,-0.588839,2
2013-06-17/2013-06-23,2.667586,3
2013-06-24/2013-06-30,-0.8714485,4
2013-07-01/2013-07-07,1.7899129,10
2013-07-08/2013-07-14,1.0150161,25
2013-07-15/2013-07-21,0.025215253,2
2013-07-29/2013-08-04,2.588671,3
2013-08-05/2013-08-11,0.74074566,2
2013-08-12/2013-08-18,3.158632,3
2013-08-19/2013-08-25,0.6091743,3
2013-08-26/2013-09-01,5.4300313,3
2013-09-02/2013-09-08,4.1610684,4
2013-09-09/2013-09-15,2.4666965,13
2013-09-16/2013-09-22,1.7676893,6
2013-09-23/2013-09-29,0.86363864,1
2013-09-30/2013-10-06,0.9673629,4
2013-10-07/2013-10-13,0.30932912,25
2013-10-14/2013-10-20,0.06410816,1
2013-10-21/2013-10-27,0.013664503,2
2013-10-28/2013-11-03,8.221943,3
2013-11-04/2013-11-10,0.3143878,5
2013-11-11/2013-11-17,3.427373,4
2013-11-25/2013-12-01,0.25105152,3
2013-12-02/2013-12-08,2.3019953,2
2013-12-09/2013-12-15,2.9888074,3
2013-12-16/2013-12-22,1.8778547,5
2013-12-23/2013-12-29,3.1591394,2
2013-12-30/2014-01-05,-1.9192623,4
2014-01-06/2014-01-12,1.2236919,15
2014-01-13/2014-01-19,2.48106,7
2014-01-20/2014-01-26,1.7275927,10
2014-01-27/2014-02-02,2.7260752,4
2014-02-17/2014-02-23,-1.9623575,2
2014-02-24/2014-03-02,2.4207895,4
2014-03-10/2014-03-16,4.7271047,4
2014-03-17/2014-03-23,4.1409526,4
2014-03-24/2014-03-30,3.1614122,4
2014-03-31/2014-04-06,0.5697129,6
2014-04-07/2014-04-13,1.5537724,31
2014-04-14/2014-04-20,6.0883517,5
2014-04-21/2014-04-27,1.2414871,3
2020-08-03/2020-08-09,3.6767914,5
2020-08-10/2020-08-16,4.1339006,5
2020-09-07/2020-09-13,-1.502932,1
2020-09-21/2020-09-27,3.6439312,3
2020-10-05/2020-10-11,1.185026,3
2020-10-12/2020-10-18,4.144608,7
