Week,Avg_Sentiment,Article_Count
2023-03-06/2023-03-12,3.0845037,40
2023-03-13/2023-03-19,3.4324856,84
2023-03-20/2023-03-26,2.156482,103
2023-03-27/2023-04-02,2.5819767,103
2023-04-03/2023-04-09,2.8691657,90
2023-04-10/2023-04-16,1.7665702,110
2023-04-17/2023-04-23,3.082955,118
2023-04-24/2023-04-30,1.3726404,197
2023-05-01/2023-05-07,2.6898603,104
2023-05-08/2023-05-14,2.4086533,75
2023-05-15/2023-05-21,2.5877492,108
2023-05-22/2023-05-28,2.87343,104
2023-05-29/2023-06-04,3.2642822,111
2023-06-05/2023-06-11,2.9831288,108
2023-06-12/2023-06-18,1.3623698,133
2023-06-19/2023-06-25,3.3841152,108
2023-06-26/2023-07-02,2.0169153,117
2023-07-03/2023-07-09,3.089876,93
2023-07-10/2023-07-16,1.6983136,139
2023-07-17/2023-07-23,2.9303136,118
2023-07-24/2023-07-30,2.6602468,132
2023-07-31/2023-08-06,0.9160461,185
2023-08-07/2023-08-13,1.2346491,132
2023-08-14/2023-08-20,1.7144582,122
2023-08-21/2023-08-27,2.1177006,113
2023-08-28/2023-09-03,1.8446101,114
2023-09-04/2023-09-10,2.5833995,74
2023-09-11/2023-09-17,1.9391253,152
2023-09-18/2023-09-24,2.1241546,153
2023-09-25/2023-10-01,1.4419732,196
2023-10-02/2023-10-08,1.55197,130
2023-10-09/2023-10-15,1.7915769,125
2023-10-16/2023-10-22,2.5377278,39
2023-10-23/2023-10-29,0.1928695,63
2023-10-30/2023-11-05,1.7957351,88
2023-11-06/2023-11-12,2.529703,60
2023-11-13/2023-11-19,2.057139,138
2023-11-20/2023-11-26,1.4570352,121
2023-11-27/2023-12-03,1.3684644,167
2023-12-04/2023-12-10,1.5011808,126
2023-12-11/2023-12-17,1.980621,189
