Week,Avg_Sentiment,Article_Count
2023-04-24/2023-04-30,3.2299678,10
2023-05-01/2023-05-07,1.9303269,11
2023-05-08/2023-05-14,3.9890897,12
2023-05-15/2023-05-21,3.1790142,9
2023-05-22/2023-05-28,2.8914669,33
2023-05-29/2023-06-04,1.5289608,10
2023-06-05/2023-06-11,2.7611258,6
2023-06-12/2023-06-18,2.3269987,11
2023-06-19/2023-06-25,0.8284623,9
2023-06-26/2023-07-02,1.5706357,11
2023-07-03/2023-07-09,2.1538932,10
2023-07-10/2023-07-16,1.1993797,12
2023-07-17/2023-07-23,2.3670845,8
2023-07-24/2023-07-30,3.215987,9
2023-07-31/2023-08-06,5.222752,8
2023-08-07/2023-08-13,1.0501965,9
2023-08-14/2023-08-20,2.8407357,10
2023-08-21/2023-08-27,3.553012,37
2023-08-28/2023-09-03,-1.2438395,10
2023-09-04/2023-09-10,1.0023693,5
2023-09-11/2023-09-17,0.11860456,10
2023-09-18/2023-09-24,2.3010786,12
2023-09-25/2023-10-01,2.678679,10
2023-10-02/2023-10-08,0.12713301,6
2023-10-09/2023-10-15,3.2655518,2
2023-10-16/2023-10-22,-1.4742749,2
2023-10-23/2023-10-29,1.9009902,13
2023-10-30/2023-11-05,2.3110917,8
2023-11-06/2023-11-12,3.5515738,9
2023-11-13/2023-11-19,1.2407709,14
2023-11-20/2023-11-26,2.5966902,20
2023-11-27/2023-12-03,0.872414,7
2023-12-04/2023-12-10,2.7473574,8
2023-12-11/2023-12-17,4.1407537,10
