Week,Avg_Sentiment,Article_Count
2022-04-25/2022-05-01,1.2177552,109
2022-05-02/2022-05-08,1.1833862,66
2022-05-09/2022-05-15,2.4891825,70
2022-05-16/2022-05-22,1.5470293,80
2022-05-23/2022-05-29,1.9923657,65
2022-05-30/2022-06-05,1.5839714,69
2022-06-06/2022-06-12,3.4216926,64
2022-06-13/2022-06-19,2.2611253,86
2022-06-20/2022-06-26,1.9809904,68
2022-06-27/2022-07-03,1.8802223,79
2022-07-04/2022-07-10,2.788952,57
2022-07-11/2022-07-17,2.5378525,69
2022-07-18/2022-07-24,2.0602448,105
2022-07-25/2022-07-31,1.2979078,125
2022-08-01/2022-08-07,2.156758,57
2022-08-08/2022-08-14,2.1372936,47
2022-08-15/2022-08-21,2.364963,64
2022-08-22/2022-08-28,1.909989,62
2022-08-29/2022-09-04,2.6068082,63
2022-09-05/2022-09-11,1.8950236,54
2022-09-12/2022-09-18,2.3249204,85
2022-09-19/2022-09-25,2.3368442,91
2022-09-26/2022-10-02,1.9434326,79
2022-10-03/2022-10-09,1.2698122,75
2022-10-10/2022-10-16,2.3934348,61
2022-10-17/2022-10-23,0.1569921,72
2022-10-24/2022-10-30,0.9496851,142
2022-10-31/2022-11-06,1.370577,73
2022-11-07/2022-11-13,1.2229545,70
2022-11-14/2022-11-20,1.9567084,61
2022-11-21/2022-11-27,2.7491245,48
2022-11-28/2022-12-04,2.175635,81
2022-12-05/2022-12-11,2.2841458,70
2022-12-12/2022-12-18,1.9019207,81
2022-12-19/2022-12-25,2.8489301,65
2022-12-26/2023-01-01,1.8811604,67
2023-01-02/2023-01-08,3.066498,83
2023-01-09/2023-01-15,3.6773934,65
2023-01-16/2023-01-22,2.0447726,106
2023-01-23/2023-01-29,1.681761,170
2023-01-30/2023-02-05,3.0613024,90
2023-02-06/2023-02-12,3.0800047,151
2023-02-13/2023-02-19,2.7169456,97
2023-02-20/2023-02-26,3.4927409,90
2023-02-27/2023-03-05,3.786432,83
2023-03-06/2023-03-12,3.2479782,81
2023-03-13/2023-03-19,3.4385114,97
2023-03-20/2023-03-26,2.8892276,105
2023-03-27/2023-04-02,2.8385339,113
2023-04-03/2023-04-09,2.556544,106
2023-04-10/2023-04-16,2.4122744,116
2023-04-17/2023-04-23,2.7421827,119
2023-04-24/2023-04-30,2.0776167,258
2023-05-01/2023-05-07,2.6140344,115
2023-05-08/2023-05-14,2.587353,115
2023-05-15/2023-05-21,3.989098,118
2023-05-22/2023-05-28,3.0431092,147
2023-05-29/2023-06-04,2.9430854,127
2023-06-05/2023-06-11,3.2889137,106
2023-06-12/2023-06-18,2.9002974,113
2023-06-19/2023-06-25,2.7657273,106
2023-06-26/2023-07-02,2.0657165,126
2023-07-03/2023-07-09,3.43035,89
2023-07-10/2023-07-16,2.6000223,163
2023-07-17/2023-07-23,2.571836,196
2023-07-24/2023-07-30,1.3588274,216
2023-07-31/2023-08-06,1.6755548,120
2023-08-07/2023-08-13,2.1406116,97
2023-08-14/2023-08-20,1.9322364,82
2023-08-21/2023-08-27,2.6241803,124
2023-08-28/2023-09-03,3.6198683,91
2023-09-04/2023-09-10,3.1806855,91
2023-09-11/2023-09-17,2.1929555,129
2023-09-18/2023-09-24,2.1632564,108
2023-09-25/2023-10-01,1.9244179,136
2023-10-02/2023-10-08,1.8023267,115
2023-10-09/2023-10-15,2.4706254,106
2023-10-16/2023-10-22,1.6748121,117
2023-10-23/2023-10-29,1.1328872,229
2023-10-30/2023-11-05,2.286732,122
2023-11-06/2023-11-12,2.1097457,90
2023-11-13/2023-11-19,2.7195694,115
2023-11-20/2023-11-26,1.9547622,157
2023-11-27/2023-12-03,2.0734837,116
2023-12-04/2023-12-10,2.3177702,111
2023-12-11/2023-12-17,2.7140477,134
